antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({23}),frozenset({25}),0.3929712460063898,0.4078807241746539,0.16826411075612355,0.4281842818428185,1.0497781740219492,0.00797871435522124,1.0355071695713403,0.07811459027315151
frozenset({26}),frozenset({23}),0.3844515441959531,0.3929712460063898,0.15228966986155484,0.3961218836565097,1.0080174762966465,0.0012112675097905312,1.0052173403288682,0.012921334720642882
frozenset({23}),frozenset({26}),0.3929712460063898,0.3844515441959531,0.15228966986155484,0.3875338753387534,1.0080174762966467,0.0012112675097905312,1.0050326557154572,0.013102686786897522
frozenset({27}),frozenset({23}),0.3951011714589989,0.3929712460063898,0.17465388711395102,0.4420485175202157,1.1248876909254268,0.019390487467123962,1.0879597474957943,0.18353873239436627
frozenset({23}),frozenset({27}),0.3929712460063898,0.3951011714589989,0.17465388711395102,0.4444444444444445,1.1248876909254268,0.019390487467123962,1.0888178913738018,0.18289473684210533
frozenset({28}),frozenset({23}),0.3961661341853035,0.3929712460063898,0.1757188498402556,0.44354838709677424,1.1287044322056126,0.020036950463922287,1.0908922535537344,0.1888407888407891
frozenset({23}),frozenset({28}),0.3929712460063898,0.3961661341853035,0.1757188498402556,0.4471544715447155,1.1287044322056126,0.020036950463922287,1.0922289043412894,0.18784688995215335
frozenset({29}),frozenset({23}),0.4185303514376997,0.3929712460063898,0.1650692225772098,0.39440203562340964,1.0036409524400587,0.0005988288812447395,1.0023626063844069,0.006238922367954544
frozenset({23}),frozenset({29}),0.3929712460063898,0.4185303514376997,0.1650692225772098,0.42005420054200543,1.0036409524400587,0.0005988288812447395,1.0026275715863964,0.005976230899830142
frozenset({30}),frozenset({23}),0.4206602768903088,0.3929712460063898,0.16613418530351437,0.3949367088607595,1.0050015436863229,0.0008267921485367868,1.0032483591107784,0.008590214932126748
frozenset({23}),frozenset({30}),0.3929712460063898,0.4206602768903088,0.16613418530351437,0.4227642276422764,1.0050015436863229,0.0008267921485367868,1.0036448724294649,0.008198380566801668
frozenset({24}),frozenset({25}),0.4142705005324814,0.4078807241746539,0.17358892438764642,0.4190231362467866,1.0273178196755421,0.004615972626261594,1.019178753522388,0.045398773006134964
frozenset({25}),frozenset({24}),0.4078807241746539,0.4142705005324814,0.17358892438764642,0.42558746736292424,1.027317819675542,0.004615972626261594,1.0197018104366347,0.044908858189521984
frozenset({24}),frozenset({26}),0.4142705005324814,0.3844515441959531,0.16826411075612355,0.40616966580976865,1.0564911805966004,0.008997177111580656,1.0365729407262956,0.09128883774453404
frozenset({26}),frozenset({24}),0.3844515441959531,0.4142705005324814,0.16826411075612355,0.43767313019390586,1.0564911805966004,0.008997177111580656,1.0416174842747499,0.0868665411063905
frozenset({24}),frozenset({27}),0.4142705005324814,0.3951011714589989,0.1757188498402556,0.42416452442159386,1.073559268010449,0.012040089778966367,1.0504716263502207,0.11698071625344357
frozenset({27}),frozenset({24}),0.3951011714589989,0.4142705005324814,0.1757188498402556,0.4447439353099731,1.073559268010449,0.012040089778966367,1.0548817684584924,0.11327358087921473
frozenset({24}),frozenset({28}),0.4142705005324814,0.3961661341853035,0.17358892438764642,0.4190231362467866,1.0576954971390662,0.009468981684682548,1.0393423619553845,0.09312883435582801
frozenset({28}),frozenset({24}),0.3961661341853035,0.4142705005324814,0.17358892438764642,0.4381720430107527,1.0576954971390662,0.009468981684682548,1.0425424583823777,0.09033661180900425
frozenset({24}),frozenset({29}),0.4142705005324814,0.4185303514376997,0.1757188498402556,0.42416452442159386,1.0134618026256403,0.002334071662124404,1.0097843450479236,0.02267768595041313
frozenset({29}),frozenset({24}),0.4185303514376997,0.4142705005324814,0.1757188498402556,0.41984732824427484,1.0134618026256403,0.002334071662124404,1.009612689871644,0.02284382284382275
frozenset({24}),frozenset({30}),0.4142705005324814,0.4206602768903088,0.20021299254526093,0.4832904884318766,1.1488854902216004,0.025945849083780476,1.1212097128839298,0.22124758220502905
frozenset({30}),frozenset({24}),0.4206602768903088,0.4142705005324814,0.20021299254526093,0.47594936708860763,1.1488854902216004,0.025945849083780476,1.1176963878728015,0.22368781289111395
frozenset({25}),frozenset({26}),0.4078807241746539,0.3844515441959531,0.1703940362087327,0.41775456919060056,1.0866247658448032,0.013583661952023401,1.057197572076009,0.13463354316546788
frozenset({26}),frozenset({25}),0.3844515441959531,0.4078807241746539,0.1703940362087327,0.443213296398892,1.0866247658448032,0.013583661952023401,1.0634580028504974,0.12950908304498296
frozenset({25}),frozenset({27}),0.4078807241746539,0.3951011714589989,0.18210862619808307,0.4464751958224543,1.1300275171894465,0.020954474261132505,1.0928125062792613,0.19432874752829327
